小説	ID	Property	原文	述語	修正	メモ
ACaseOfIdentity.tsv	69	hasProperty	5年2ヶ月年上である	5 years 2 months older		hasPropertyへ
ACaseOfIdentity.tsv	158	hasProperty	ない	Absent	absent	hasPropertyへ？
SpeckledBand.tsv	135	hasPredicate	承諾した	accept		承諾する
CrookedMan.tsv	160	hasPredicate	非難した	accuse		
CrookedMan.tsv	329	hasPredicate	恐れた	afraid		
ACaseOfIdentity.tsv	326	hasProperty	目ざとい	Aim	aim	hasPropertyへ
ACaseOfIdentity.tsv	64	hasProperty	立てている	Angree	angree	
ACaseOfIdentity.tsv	417	hasPredicate	謝る	apologize		
DancingMen.tsv	40	hasPredicate	現れた	appear		
DancingMen.tsv	152	hasPredicate	使われている	appear		本文チェック？
DancingMen.tsv	162	hasPredicate	現れている	appear		
ACaseOfIdentity.tsv	34	hasPredicate	現れる	appear		
ACaseOfIdentity.tsv	513	hasPredicate	いる	Are	exist	
ACaseOfIdentity.tsv	394	hasPredicate	寝ている	Are sleeping	sleeping	sleepにしてよい？
CrookedMan.tsv	81	hasPredicate	言い争っていた	argue		
CrookedMan.tsv	86	hasPredicate	言い争っていた	argue		
CrookedMan.tsv	58	hasPredicate	着く	arrive		
CrookedMan.tsv	174	hasPredicate	ついた	arrive		
DancingMen.tsv	41	hasPredicate	頼んだ	ask		頼むと尋ねるを分けなくてよい？
DancingMen.tsv	144	hasPredicate	頼んだ	ask		
ACaseOfIdentity.tsv	455	hasPredicate	頼む	ask		
ACaseOfIdentity.tsv	462	hasPredicate	尋ねる	ask		
CrookedMan.tsv	200	hasPredicate	頼んだ	ask		
CrookedMan.tsv	338	hasPredicate	尋ねた	ask		
CrookedMan.tsv	363	hasPredicate	聞きに行った	ask		
CrookedMan.tsv	367	hasPredicate	尋ねた	ask		
ACaseOfIdentity.tsv	306	hasProperty	ついている	Attached	attached	hasPropertyへ
ACaseOfIdentity.tsv	308	hasProperty	付いている	attached		hasPropertyへ
ACaseOfIdentity.tsv	309	hasProperty	付いている	attached		hasPropertyへ
